image_name,strategy,seed,share_interval,fe_best
227092.jpg,PA1,42,,0.05118739737300029
227092.jpg,PA4,42,,0.05118739737300029
108082.jpg,PA3,42,,0.05118388359089616
58060.jpg,PA3,42,,0.051180824710365024
14037.jpg,PA3,42,,0.05116028778436649
227092.jpg,PA3,42,,0.05115735307958661
108082.jpg,PA1,42,,0.05113005064589706
300091.jpg,PA1,42,,0.05096665695991086
66053.jpg,PA2,42,,0.05096546490425309
66053.jpg,PA5,42,7,0.05096546490425309
108082.jpg,PA2,42,,0.050888223720076606
108082.jpg,PA4,42,,0.050888223720076606
182053.jpg,PA4,42,,0.05082958713564481
182053.jpg,PA5,42,7,0.05082958713564481
182053.jpg,PA2,42,,0.05082177460395104
300091.jpg,PA2,42,,0.05081547859275489
182053.jpg,PA1,42,,0.05081092138526171
182053.jpg,PA3,42,,0.05073488965936959
300091.jpg,PA4,42,,0.05072859091974694
300091.jpg,PA5,42,7,0.05068777379930539
361010.jpg,PA5,42,7,0.050666868312136036
300091.jpg,PA3,42,,0.050665551660200384
14037.jpg,PA1,42,,0.05063679195456882
130026.jpg,PA5,42,7,0.05062692463126224
55073.jpg,PA4,42,,0.05057162212434201
361010.jpg,PA4,42,,0.050555902191957006
157055.jpg,PA1,42,,0.050551170612706045
157055.jpg,PA2,42,,0.050551170612706045
157055.jpg,PA3,42,,0.050551170612706045
157055.jpg,PA4,42,,0.050551170612706045
157055.jpg,PA5,42,7,0.050551170612706045
55073.jpg,PA5,42,7,0.050498569520870236
361010.jpg,PA3,42,,0.05049257477156152
14037.jpg,PA4,42,,0.050478995989651894
55073.jpg,PA1,42,,0.05045269365992563
55073.jpg,PA3,42,,0.05045269365992563
55073.jpg,PA2,42,,0.05038602057546586
361010.jpg,PA2,42,,0.05038532185507282
361010.jpg,PA1,42,,0.050342187684919756
285079.jpg,PA3,42,,0.05033299796329692
285079.jpg,PA5,42,7,0.050321798795209635
285079.jpg,PA1,42,,0.05026124232611004
285079.jpg,PA4,42,,0.05026100092559024
147091.jpg,PA1,42,,0.05025587063030383
